month,UERate,CPI_US,Gas,Regional_emp,CPI_region,Case_Sh_region
1/1/15,,,,,,
2/1/15,,,,,,
3/1/15,,,,,,
4/1/15,,,,,,
5/1/15,,,,,,
6/1/15,,,,,,
7/1/15,,,,,,
8/1/15,,,,,,
9/1/15,,,,,,
10/1/15,,,,,,
11/1/15,,,,,,
12/1/15,,,,,,
1/1/16,4.9,1.359226607,1.95,9461.6,0.76091,2.6086
2/1/16,4.9,0.984759373,1.76,9478.3,0.63069,2.41576
3/1/16,5,0.885210751,1.97,9496.2,0.71674,2.91251
4/1/16,5,1.146057807,2.11,9499.5,1.02324,2.72513
5/1/16,4.7,1.04309577,2.27,9484,0.86032,2.32558
6/1/16,4.9,1.020558591,2.37,9506.8,0.90436,2.17013
7/1/16,4.9,0.850022701,2.24,9552.5,0.96593,2.1999
8/1/16,4.9,1.084054144,2.18,9555.1,1.07635,2.24864
9/1/16,4.9,1.490312338,2.22,9564.3,1.03671,2.26065
10/1/16,4.8,1.640929888,2.25,9574.5,1.23243,2.20375
11/1/16,4.6,1.698907845,2.18,9579.7,1.60684,2.62983
12/1/16,4.7,2.091689581,2.25,9605.7,2.10817,3.03953
1/1/17,4.8,2.487127582,2.35,9619.4,2.52552,3.593788982
2/1/17,4.7,2.646672946,2.3,9647,2.60163,3.581101432
3/1/17,4.5,2.368551483,2.33,9640.4,2.32268,3.753298722
4/1/17,4.4,2.167780066,2.42,9635.1,2.02918,4
5/1/17,4.3,1.900468746,2.39,9660.8,1.8498967,3.983303504
6/1/17,4.3,1.746983431,2.35,9683.3,1.814860712,3.875209995
7/1/17,4.3,1.808268514,2.3,9687.9,1.641501278,3.911180872
8/1/17,4.4,2.027131025,2.38,9692.7,1.702377347,4.261284102
9/1/17,4.2,2.234799134,2.65,9700.3,2.062342688,5.116851944
10/1/17,4.1,2.022805696,2.51,9711.7,1.827089424,5.802990308
11/1/17,4.1,2.15194943,2.56,9715.9,1.57539696,5.509409798
12/1/17,4.1,2.09578249,2.48,9727.3,1.560916431,5.456433246
1/1/18,4.1,2.137869425,2.55,9734.5,1.443894544,5.31892777
2/1/18,4.1,2.260120769,2.59,9772.2,1.700652315,5.890389601
3/1/18,4.1,2.357242211,2.59,9764.6,1.724331233,5.295143798
4/1/18,3.9,2.427822866,2.76,9757.7,1.866780122,4.628143675
5/1/18,3.8,2.715744677,2.9,9784.2,2.169414169,4.41193675
6/1/18,4,2.796764359,2.89,9780.6,2.048640319,3.852357756
7/1/18,,2.886552351,2.85,9778,2.246587403,0
8/1/18,,,2.84,,,
